Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Município do Curso;Sigla da UF;Conceito Enade (Contínuo);Conceito Enade (Faixa);
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;Curitiba;PR;3,6396;4;0
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;Recife;PE;2,8074;3;0
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;Caxias do Sul;RS;3,026;4;0
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;São Leopoldo;RS;2,2965;3;0
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Privada sem fins lucrativos;Petrópolis;RJ;2,2256;3;0
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada sem fins lucrativos;Pelotas;RS;1,77;2;0
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;Campinas;SP;2,6857;3;0
20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;Passo Fundo;RS;2,2156;3;0
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;Porto Alegre;RS;3,4516;4;0
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;Universidade;Privada sem fins lucrativos;Campinas;SP;4,1814;5;0
23;UNIVERSIDADE FEEVALE;FEEVALE;Universidade;Privada sem fins lucrativos;Novo Hamburgo;RS;2,6108;3;0
27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Universidade;Privada sem fins lucrativos;Três Corações;MG;2,3387;3;0
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;Alfenas;MG;1,9031;2;0
60;CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA;UNI-FACEF;Centro Universitário;Especial;Franca;SP;2,4608;3;0
77;FACULDADE DA REGIÃO DOS LAGOS;FERLAGOS;Faculdade;Privada sem fins lucrativos;Cabo Frio;RJ;2,3671;3;0
80;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ;UNIDAVI;Centro Universitário;Privada sem fins lucrativos;Rio do Sul;SC;2,6897;3;0
81;UNIVERSIDADE DA REGIÃO DE JOINVILLE;UNIVILLE;Universidade;Privada sem fins lucrativos;Joinville;SC;3,0004;4;0
82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;Xanxerê;SC;2,1144;3;0
83;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;Universidade;Privada sem fins lucrativos;Itajaí;SC;2,9288;3;0
87;CENTRO UNIVERSITÁRIO DE BRUSQUE;UNIFEBE;Centro Universitário;Privada sem fins lucrativos;Brusque;SC;2,4879;3;0
109;FACULDADES INTEGRADAS RUI BARBOSA;FIRB;Faculdade;Privada com fins lucrativos;Andradina;SP;;SC;0
124;UNIVERSIDADE DE ARARAQUARA;UNIARA;Universidade;Privada sem fins lucrativos;Araraquara;SP;1,989;3;0
125;CENTRO UNIVERSITÁRIO DE ARARAS -;UNAR;Centro Universitário;Privada sem fins lucrativos;Araras;SP;1,1111;2;0
126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;INATEL;Faculdade;Privada sem fins lucrativos;Santa Rita do Sapucaí;MG;3,0213;4;0
135;CENTRO UNIVERSITÁRIO CLARETIANO;CEUCLAR;Centro Universitário;Privada sem fins lucrativos;Batatais;SP;1,8957;2;0
137;UNIVERSIDADE DO SAGRADO CORAÇÃO;USC;Universidade;Privada sem fins lucrativos;Bauru;SP;3,2826;4;0
138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ;CBM;Centro Universitário;Privada sem fins lucrativos;Ribeirão Preto;SP;1,7462;2;0
140;UNIVERSIDADE DE VASSOURAS;;Universidade;Privada sem fins lucrativos;Vassouras;RJ;1,8592;2;0
142;CENTRO UNIVERSITÁRIO DO TRIÂNGULO;UNITRI;Centro Universitário;Privada sem fins lucrativos;Uberlândia;MG;1,8148;2;0
143;UNIVERSIDADE DE UBERABA;UNIUBE;Universidade;Privada sem fins lucrativos;Uberlândia;MG;2,6482;3;0
144;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;FACHO;Faculdade;Privada sem fins lucrativos;Olinda;PE;2,463;3;0
146;CENTRO UNIVERSITÁRIO DE RIO PRETO;UNIRP;Centro Universitário;Privada com fins lucrativos;São José do Rio Preto;SP;1,99;3;0
