Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;10;Centro Universitário;SP
FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;11;Faculdade;SP
UNIVERSIDADE PITÁGORAS UNOPAR;13;Universidade;PR
Faculdade de Ciencias Humanas e Sociais de Serra Talhada;27;Faculdade;PE
Faculdade UNIRB - ARACAJU;30;Faculdade;SE
FACULDADE ANHANGUERA DE PASSO FUNDO;67;Faculdade;RS
ESCOLA SUPERIOR DA AMAZÔNIA;68;Faculdade;PA
FACULDADE EDUCACIONAL DE PONTA GROSSA;73;Faculdade;PR
FACULDADE ANHANGUERA DE PORTO ALEGRE;76;Faculdade;RS
FACULDADE DO SUL;77;Faculdade;BA
FACULDADE ESTÁCIO DE FEIRA DE SANTANA;84;Faculdade;BA
FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO;99;Faculdade;SP
FACULDADE DE MACAPÁ;109;Faculdade;AP
CENTRO UNIVERSITÁRIO SANT¿ANNA;125;Centro Universitário;SP
FACULDADE ANHANGUERA DE ANÁPOLIS;126;Faculdade;GO
Faculdade Pitagoras de Campina Grande;135;Faculdade;PB
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;138;Faculdade;BA
Faculdade Estácio de Carapicuíba;139;Faculdade;SP
FACULDADE ANHANGÜERA DE SOROCABA;142;Faculdade;SP
FACULDADE ANHANGUERA DE TAGUATINGA;144;Faculdade;DF
CENTRO UNIVERSITÁRIO NEWTON PAIVA;146;Centro Universitário;MG
Centro Universitário da Amazônia;150;Centro Universitário;PA
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;158;Centro Universitário;DF
FACULDADE PITÁGORAS DE IMPERATRIZ;159;Faculdade;MA
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;160;Centro Universitário;SP
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;161;Centro Universitário;SP
UNIVERSIDADE REGIONAL DE BLUMENAU;163;Universidade;SC
Faculdade Anhanguera de Catanduva;165;Faculdade;SP
Faculdade Autônoma do Brasil - Cabo de Santo Agostinho;166;Faculdade;PE
CENTRO UNIVERSITÁRIO TOLEDO;167;Centro Universitário;SP
CENTRO UNIVERSITÁRIO CELSO LISBOA;170;Centro Universitário;RJ
FACULDADE ANHANGUERA DE BRASÍLIA;171;Faculdade;DF
Faculdade Pitagoras de Jacobina;176;Faculdade;BA
Faculdade Pitágoras de Jequié;197;Faculdade;BA
FACULDADE ANHANGÜERA DE CAMPINAS;202;Faculdade;SP
CENTRO UNIVERSITÁRIO DE ITAJUBÁ;203;Centro Universitário;MG
FACULDADES INTEGRADAS DE JAHU;206;Faculdade;SP
"FACULDADE DE CIÊNCIAS HUMANAS; ECONÔMICAS E DA SAÚDE";208;Faculdade;TO
FACULDADE TERRA NORDESTE;213;Faculdade;CE
Centro Universitário Dinâmica das Cataratas;214;Centro Universitário;PR
CENTRO UNIVERSITÁRIO DE GOIÁS;216;Centro Universitário;GO
Faculdade Estácio de Rio Preto;219;Faculdade;SP
FACULDADE DE MINAS BH;220;Faculdade;MG
CENTRO UNIVERSITÁRIO DE BRASÍLIA;221;Centro Universitário;DF
FACULDADE ANHANGÜERA DE DOURADOS;222;Faculdade;MS
Faculdade Anhanguera de São José do Rio Preto;224;Faculdade;SP
